Volcano Name,Area of Activity,VEI,Start Year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude
Kelut,,2,1920,12,6,Historical Observations,1920,12,12,-7.93,112.308
Merapi,,2,1920,7,25,Historical Observations,1921,2,0,-7.54,110.446
Lewotolok,,2,1920,0,0,Historical Observations,,,,-8.274,123.508
"Telong, Bur ni",,2,1919,12,0,Historical Observations,,,,4.769,96.821
Serua,,2,1919,11,0,Historical Observations,,,,-6.312,130.017
Kelut,,4,1919,5,19,Historical Observations,1919,5,20,-7.93,112.308
Marapi,,2,1919,2,28,Historical Observations,1919,3,1,-0.38,100.474
Salak,Kawah Ratu,2,1919,0,0,Historical Observations,,,,-6.72,106.73
Marapi,,2,1918,8,15,Historical Observations,1918,8,15,-0.38,100.474
Kaba,,2,1918,8,9,,,,,-3.522,102.615
Gamalama,,1,1918,8,0,Historical Observations,1918,9,4,0.8,127.33
Banua Wuhu,,3,1918,7,18,Historical Observations,1919,12,1,3.138,125.491
Galunggung,Gunung Jadi,1,1918,7,17,Historical Observations,1918,7,30,-7.25,108.058
Marapi,,2,1918,3,8,Historical Observations,1918,3,10,-0.38,100.474
Ruang,,,1918,2,0,,,,,2.3,125.37
Merapi,,1,1918,1,0,Historical Observations,,,,-7.54,110.446
Peuet Sague,,2,1918,0,0,Historical Observations,1921,0,0,4.903,96.289
Soputan,NE flank (Aeseput),2,1917,11,0,Historical Observations,,,,1.112,124.737
Gamkonora,,2,1917,10,18,Historical Observations,1917,10,18,1.38,127.53
Marapi,,2,1917,6,16,Historical Observations,1917,9,16,-0.38,100.474
Sorikmarapi,,2,1917,5,20,Historical Observations,1917,5,20,0.686,99.539
Ijen,Kawah Ijen,1,1917,2,25,Historical Observations,1917,3,14,-8.058,114.242
Raung,,2,1917,2,22,Historical Observations,,,,-8.119,114.056
Raung,,2,1916,11,0,Historical Observations,1916,12,0,-8.119,114.056
Marapi,,1,1916,5,5,Historical Observations,1916,7,7,-0.38,100.474
Marapi,,2,1915,12,0,Historical Observations,,,,-0.38,100.474
Rinjani,Gunung Barujari (Segara Munjar),2,1915,11,4,Historical Observations,,,,-8.42,116.47
Tengger Caldera,Bromo,3,1915,11,0,Historical Observations,1916,6,0,-7.942,112.95
Raung,,2,1915,5,0,Historical Observations,,,,-8.119,114.056
Soputan,NE flank (Aeseput Weru),2,1915,4,0,Historical Observations,1915,6,0,1.112,124.737
Merapi,,1,1915,3,28,Historical Observations,1915,5,15,-7.54,110.446
Semeru,,2,1915,0,0,Historical Observations,,,,-8.108,112.922
Marapi,,2,1914,7,1,Historical Observations,,,,-0.38,100.474
Lewotobi,Lewotobi Lakilaki,2,1914,6,29,Historical Observations,,,,-8.542,122.775
Tandikat-Singgalang,Tandikat,1,1914,5,31,Historical Observations,,,,-0.39,100.331
Ruang,,2,1914,5,29,Historical Observations,1915,2,28,2.3,125.37
Marapi,,2,1913,6,23,Historical Observations,1913,7,31,-0.38,100.474
Semeru,Jonggring Seloko,2,1913,6,23,Historical Observations,1913,6,26,-8.108,112.922
Raung,,2,1913,5,10,Historical Observations,1913,12,0,-8.119,114.056
Soputan,NE flank (Aeseput),2,1913,4,0,Historical Observations,1913,7,0,1.112,124.737
Awu,,2,1913,3,14,Historical Observations,1913,3,14,3.689,125.447
Semeru,,2,1912,8,28,Historical Observations,,,,-8.108,112.922
Sangeang Api,,2,1912,4,0,Historical Observations,,,,-8.2,119.07
Semeru,,3,1911,11,8,Historical Observations,1911,12,0,-8.108,112.922
Marapi,,2,1911,11,2,Historical Observations,,,,-0.38,100.474
Soputan,NE flank (Aeseput),2,1911,11,0,Historical Observations,1912,4,0,1.112,124.737
Gamalama,,1,1911,9,2,Historical Observations,1911,9,6,0.8,127.33
Ibu,,2,1911,8,30,Historical Observations,1911,9,1,1.488,127.63
Sangeang Api,Doro Api,2,1911,2,13,Historical Observations,1911,3,2,-8.2,119.07
Gamkonora,,2,1911,0,0,Historical Observations,,,,1.38,127.53
Semeru,,2,1910,11,16,Historical Observations,1911,2,0,-8.108,112.922
Soputan,NE flank (Aeseput),2,1910,11,15,Historical Observations,,,,1.112,124.737
Ebulobo,,2,1910,4,10,Historical Observations,,,,-8.817,121.191
Tangkuban Parahu,Kawah Ratu B,2,1910,4,7,Historical Observations,1910,5,0,-6.77,107.6
Tengger Caldera,Bromo,2,1910,1,18,Historical Observations,1910,1,21,-7.942,112.95
Marapi,,2,1910,0,0,Historical Observations,,,,-0.38,100.474
Iliwerung,Iliwerung,2,1910,0,0,Historical Observations,,,,-8.53,123.57
Rinjani,Gunung Barujari,2,1909,11,30,Historical Observations,1909,12,2,-8.42,116.47
Iliboleng,,2,1909,11,9,Historical Observations,,,,-8.342,123.258
Semeru,,2,1909,9,0,Historical Observations,1910,3,22,-8.108,112.922
Sumbing,,2,1909,6,3,Historical Observations,1909,7,0,-2.414,101.728
Gede-Pangrango,,1,1909,5,2,Historical Observations,1909,5,2,-6.77,106.965
Merapi,West dome,1,1909,2,1,Historical Observations,1913,5,0,-7.54,110.446
Tengger Caldera,Bromo,2,1909,1,12,Historical Observations,1909,1,14,-7.942,112.95
Lewotobi,Lewotobi Lakilaki,2,1909,1,8,Historical Observations,1910,5,26,-8.542,122.775
Kerinci,,2,1908,10,0,Historical Observations,1909,0,0,-1.697,101.264
Soputan,NE flank (Aeseput),2,1908,6,0,Historical Observations,1909,6,0,1.112,124.737
Dempo,,2,1908,2,16,Historical Observations,1908,2,17,-4.016,103.121
Semeru,,2,1908,1,0,Historical Observations,1908,12,0,-8.108,112.922
Merapi,,1,1908,0,0,Historical Observations,,,,-7.54,110.446
Marapi,,2,1907,12,17,Historical Observations,1908,9,0,-0.38,100.474
Tengger Caldera,Bromo,2,1907,12,14,Historical Observations,1908,2,13,-7.942,112.95
Gamalama,,2,1907,11,17,Historical Observations,1907,11,20,0.8,127.33
Lewotobi,Lewotobi Lakilaki,3,1907,9,28,Historical Observations,1907,10,30,-8.542,122.775
Egon,,,1907,9,28,,,,,-8.676,122.455
Tengger Caldera,Bromo,2,1907,8,28,Historical Observations,,,,-7.942,112.95
Semeru,,2,1907,7,9,Historical Observations,,,,-8.108,112.922
Soputan,NE flank (Aeseput),2,1907,6,5,Historical Observations,1907,6,25,1.112,124.737
Semeru,,2,1907,1,7,Historical Observations,1907,1,10,-8.108,112.922
Kaba,Kaba Baru,2,1907,0,0,Historical Observations,,,,-3.522,102.615
Tengger Caldera,Bromo,2,1906,9,25,Historical Observations,1907,5,18,-7.942,112.95
Sundoro,Summit crater K5,2,1906,9,22,Historical Observations,1906,12,20,-7.3,109.992
Soputan,NE flank (Aeseput),2,1906,6,17,Historical Observations,1906,9,0,1.112,124.737
Rinjani,Gunung Barujari,1,1906,4,29,Historical Observations,,,,-8.42,116.47
Merapi,Summit and upper east flank (2600 m),2,1906,1,26,Historical Observations,1907,2,17,-7.54,110.446
Marapi,,2,1905,11,1,Historical Observations,,,,-0.38,100.474
Inielika,,2,1905,11,0,Historical Observations,1905,11,0,-8.73,120.98
Semeru,,2,1905,8,4,Historical Observations,,,,-8.108,112.922
Karangetang,,2,1905,5,21,Historical Observations,1905,5,22,2.781,125.407
Merapi,,2,1905,1,0,Historical Observations,1905,6,1,-7.54,110.446
Batur,"Batur I, Batur II, Batur III",2,1905,0,0,Historical Observations,,,,-8.242,115.375
Dempo,,0,1905,0,0,Historical Observations,,,,-4.016,103.121
Mahawu,,2,1904,10,4,Historical Observations,,,,1.352,124.865
Banua Wuhu,,2,1904,8,27,Historical Observations,,,,3.138,125.491
Slamet,,2,1904,7,14,Historical Observations,1904,8,9,-7.242,109.208
Teon,,2,1904,6,3,Historical Observations,,,,-6.976,129.144
Ruang,,3,1904,4,22,Historical Observations,1905,5,27,2.3,125.37
Marapi,,1,1904,4,18,Historical Observations,1904,4,18,-0.38,100.474
Banua Wuhu,,2,1904,4,17,Historical Observations,1904,4,18,3.138,125.491
Semeru,,2,1904,1,2,Historical Observations,1904,1,16,-8.108,112.922
Batur,West caldera floor (Gunung Anti),2,1904,0,0,Historical Observations,,,,-8.242,115.375
Iliboleng,,2,1904,0,0,Historical Observations,,,,-8.342,123.258
Ranau,,,1903,12,9,,1903,12,9,-4.871,103.925
Nila,,2,1903,12,8,Historical Observations,,,,-6.73,129.5
Raung,,2,1903,11,28,Historical Observations,1904,1,0,-8.119,114.056
Sundoro,Upper NE and SW flanks (2850-2980 m),2,1903,10,17,Historical Observations,1903,10,21,-7.3,109.992
Semeru,,2,1903,3,26,Historical Observations,1903,6,0,-8.108,112.922
Merapi,,2,1902,12,0,Historical Observations,1904,6,20,-7.54,110.446
Sundoro,,1,1902,5,1,Historical Observations,1902,5,25,-7.3,109.992
Banda Api,,,1902,3,20,,,,,-4.523,129.881
Raung,,2,1902,2,16,Historical Observations,1902,2,27,-8.119,114.056
Merapi,,1,1902,2,3,Historical Observations,1902,2,3,-7.54,110.446
Salak,Kawah Ratu,2,1902,0,0,Historical Observations,1903,0,0,-6.72,106.73
Rinjani,Gunung Barujari,2,1901,6,1,Historical Observations,1901,6,2,-8.42,116.47
Kelut,,3,1901,5,22,Historical Observations,1901,5,23,-7.93,112.308
Banda Api,Summit and north flank,2,1901,5,18,Historical Observations,,,,-4.523,129.881
Soputan,,2,1901,2,4,Historical Observations,,,,1.112,124.737
Semeru,,2,1901,1,29,Historical Observations,1901,1,30,-8.108,112.922
Dukono,,2,1901,0,0,Historical Observations,,,,1.693,127.894
Rinjani,Gunung Barujari,2,1900,11,30,Historical Observations,1900,12,2,-8.42,116.47
Dempo,,2,1900,10,26,Historical Observations,1900,10,27,-4.016,103.121
Dempo,,2,1900,6,4,Historical Observations,1900,6,4,-4.016,103.121
Gamalama,,1,1900,5,0,,1900,6,4,0.8,127.33
Semeru,,2,1900,3,29,Historical Observations,1900,4,11,-8.108,112.922
Karangetang,,2,1900,0,0,Historical Observations,,,,2.781,125.407
Semeru,,2,1899,12,0,Historical Observations,,,,-8.108,112.922
Semeru,,2,1899,8,11,Historical Observations,,,,-8.108,112.922
Lewotolok,,2,1899,6,2,Historical Observations,,,,-8.274,123.508
Gede-Pangrango,,2,1899,5,1,Historical Observations,1899,5,14,-6.77,106.965
Sirung,,2,1899,3,0,,1899,4,0,-8.508,124.13
Semeru,,2,1899,1,17,Historical Observations,1899,3,31,-8.108,112.922
Karangetang,,2,1899,0,0,Historical Observations,,,,2.781,125.407
Gamalama,,2,1898,5,14,Historical Observations,1898,5,28,0.8,127.33
Colo,Gunung Colo,3,1898,5,2,Historical Observations,1900,0,0,-0.162,121.601
Semeru,,2,1898,2,23,Historical Observations,,,,-8.108,112.922
Lamongan,SW flank 400 m (Mt. Anyar),2,1898,2,5,Historical Observations,1898,2,15,-7.981,113.341
Gamalama,,1,1897,9,7,Historical Observations,1897,9,24,0.8,127.33
Raung,,2,1897,4,0,Historical Observations,,,,-8.119,114.056
Semeru,,2,1897,1,1,Historical Observations,1897,1,3,-8.108,112.922
Merapi,,2,1897,0,0,Historical Observations,,,,-7.54,110.446
Batur,Batur I,2,1897,0,0,Historical Observations,,,,-8.242,115.375
Lamongan,,2,1896,9,5,Historical Observations,1896,9,19,-7.981,113.341
Gamalama,,1,1896,8,3,,1896,8,4,0.8,127.33
Raung,,2,1896,8,0,Historical Observations,,,,-8.119,114.056
Tangkuban Parahu,Kawah Baru,2,1896,5,22,Historical Observations,1896,5,23,-6.77,107.6
Semeru,,2,1896,5,0,Historical Observations,1896,6,0,-8.108,112.922
Tengger Caldera,Bromo,2,1896,0,0,Historical Observations,,,,-7.942,112.95
Gamalama,,1,1895,12,19,Historical Observations,1895,12,19,0.8,127.33
Dempo,,2,1895,7,2,Historical Observations,1895,9,30,-4.016,103.121
Banua Wuhu,,2,1895,7,0,Historical Observations,1895,12,26,3.138,125.491
Semeru,,2,1895,5,22,Historical Observations,1895,10,1,-8.108,112.922
Galunggung,,3,1894,10,17,Historical Observations,1894,12,0,-7.25,108.058
Merapi,,1,1894,10,0,Historical Observations,,,,-7.54,110.446
Merapi,,2,1894,1,27,Historical Observations,1894,2,2,-7.54,110.446
Semeru,,2,1893,12,11,Historical Observations,1894,2,0,-8.108,112.922
Lamongan,,2,1893,11,18,Historical Observations,,,,-7.981,113.341
Merapi,,1,1893,10,0,Historical Observations,,,,-7.54,110.446
Lokon-Empung,Tompaluan,2,1893,3,29,Historical Observations,1894,8,14,1.358,124.792
Tengger Caldera,Bromo,2,1893,1,13,Historical Observations,1893,3,27,-7.942,112.95
Sorikmarapi,East flank (Sibanggor Julu),2,1893,1,4,Historical Observations,1893,1,4,0.686,99.539
Semeru,,2,1893,1,0,Historical Observations,1893,5,0,-8.108,112.922
Awu,,2,1893,0,0,Historical Observations,,,,3.689,125.447
Karangetang,,2,1892,6,14,Historical Observations,,,,2.781,125.407
Awu,,3,1892,6,7,Historical Observations,1892,6,12,3.689,125.447
Wurlali,,2,1892,6,3,Historical Observations,1892,6,5,-7.125,128.675
Sorikmarapi,Summit and east flank (Jurang Siunik),2,1892,5,21,Historical Observations,,,,0.686,99.539
Semeru,,2,1892,3,0,Historical Observations,1892,4,0,-8.108,112.922
Tandikat-Singgalang,Tandikat,,1892,0,0,,,,,-0.39,100.331
Lamongan,,2,1891,9,25,Historical Observations,1891,10,5,-7.981,113.341
Merapi,,2,1891,8,25,Historical Observations,1892,0,0,-7.54,110.446
Gede-Pangrango,,2,1891,0,0,Historical Observations,,,,-6.77,106.965
Banda Api,,2,1890,11,23,Historical Observations,1890,11,23,-4.523,129.881
Lamongan,,2,1890,9,5,Historical Observations,1891,1,0,-7.981,113.341
Slamet,,2,1890,8,6,Historical Observations,1890,8,29,-7.242,109.208
Raung,,2,1890,7,0,Historical Observations,1890,9,15,-8.119,114.056
Makian,,2,1890,6,20,Historical Observations,1890,6,30,0.32,127.4
Tengger Caldera,Bromo,2,1890,5,0,Historical Observations,1890,9,0,-7.942,112.95
Lamongan,,2,1890,3,23,Historical Observations,1890,5,0,-7.981,113.341
Soputan,,2,1890,0,0,Historical Observations,,,,1.112,124.737
Lamongan,,2,1889,9,7,Historical Observations,1889,11,0,-7.981,113.341
Banua Wuhu,,2,1889,9,6,Historical Observations,1889,9,9,3.138,125.491
Merapi,,1,1889,7,0,Historical Observations,,,,-7.54,110.446
Ruang,,1,1889,6,0,Historical Observations,,,,2.3,125.37
Gede-Pangrango,,1,1889,5,8,,,,,-6.77,106.965
Marapi,,2,1889,3,27,Historical Observations,1889,4,17,-0.38,100.474
Tandikat-Singgalang,Tandikat summit crater and upper NE flank,1,1889,2,19,Historical Observations,1889,12,4,-0.39,100.331
Semeru,,2,1889,1,0,Historical Observations,1891,5,31,-8.108,112.922
Lewotobi,Lewotobi Lakilaki,2,1889,0,0,Historical Observations,,,,-8.542,122.775
Iya,,,1888,12,0,,,,,-8.891,121.641
Lamongan,,2,1888,9,0,Historical Observations,1888,10,6,-7.981,113.341
Merapi,,2,1888,8,18,Historical Observations,1888,12,20,-7.54,110.446
Batur,SE flank of Batur I,2,1888,5,30,Historical Observations,1888,5,31,-8.242,115.375
Tengger Caldera,Bromo,2,1888,2,27,,,,,-7.942,112.95
Marapi,,2,1888,2,19,Historical Observations,1888,3,19,-0.38,100.474
Sorikmarapi,,,1888,2,0,,,,,0.686,99.539
Semeru,,2,1888,2,0,Historical Observations,1888,10,0,-8.108,112.922
Egon,,2,1888,0,0,,1892,0,0,-8.676,122.455
Iliboleng,,2,1888,0,0,Historical Observations,,,,-8.342,123.258
Ebulobo,,2,1888,0,0,Historical Observations,,,,-8.817,121.191
Gede-Pangrango,,2,1888,0,0,Historical Observations,,,,-6.77,106.965
Sundoro,,2,1887,11,13,Historical Observations,1887,11,14,-7.3,109.992
Lamongan,,2,1887,11,0,Historical Observations,1888,2,27,-7.981,113.341
Gede-Pangrango,,2,1887,10,22,Historical Observations,1887,10,22,-6.77,106.965
Ranau,,,1887,10,7,,1888,1,20,-4.871,103.925
Semeru,,2,1887,8,0,Historical Observations,1887,10,11,-8.108,112.922
Lamongan,,2,1887,7,3,Historical Observations,1887,7,9,-7.981,113.341
Karangetang,,2,1887,5,27,Historical Observations,1887,5,27,2.781,125.407
Kerinci,,2,1887,3,23,Historical Observations,1887,3,30,-1.697,101.264
Semeru,,2,1887,2,0,Historical Observations,1887,3,0,-8.108,112.922
Guntur,,,1887,0,0,,,,,-7.143,107.84
Tengger Caldera,Bromo,2,1886,11,11,Historical Observations,1887,1,25,-7.942,112.95
Gede-Pangrango,,2,1886,6,10,Historical Observations,1886,8,16,-6.77,106.965
Karangetang,Crater III,2,1886,4,25,Historical Observations,1886,6,19,2.781,125.407
Tengger Caldera,Bromo,2,1886,4,15,Historical Observations,1886,4,26,-7.942,112.95
Marapi,,2,1886,3,31,Historical Observations,1886,5,3,-0.38,100.474
Semeru,,2,1886,1,25,Historical Observations,1886,8,26,-8.108,112.922
Lawu,,1,1885,11,28,Historical Observations,1885,11,28,-7.625,111.192
Marapi,,2,1885,11,12,Historical Observations,,,,-0.38,100.474
Tengger Caldera,Bromo,2,1885,10,31,Historical Observations,1886,1,10,-7.942,112.95
Iliboleng,,2,1885,9,0,Historical Observations,1885,10,0,-8.342,123.258
Awu,,2,1885,8,18,Historical Observations,,,,3.689,125.447
Raung,,2,1885,6,21,Historical Observations,1885,6,22,-8.119,114.056
Tengger Caldera,Bromo,2,1885,6,0,Historical Observations,,,,-7.942,112.95
Slamet,,2,1885,3,21,Historical Observations,1885,3,30,-7.242,109.208
Lamongan,,2,1885,3,11,Historical Observations,1886,10,15,-7.981,113.341
Merapi,,1,1885,2,24,Historical Observations,1887,0,0,-7.54,110.446
Guntur,,,1885,1,18,,,,,-7.143,107.84
Gede-Pangrango,,2,1885,1,0,,1885,2,0,-6.77,106.965
Gamkonora,,2,1885,0,0,Historical Observations,,,,1.38,127.53
Semeru,,2,1884,12,10,Historical Observations,1885,9,0,-8.108,112.922
Gamalama,,1,1884,12,8,,1884,12,9,0.8,127.33
Rinjani,Gunung Barujari,2,1884,8,8,Historical Observations,1884,8,10,-8.42,116.47
Dempo,,2,1884,6,0,Historical Observations,1884,7,0,-4.016,103.121
Gamalama,,2,1884,5,0,Historical Observations,1884,5,0,0.8,127.33
Lamongan,,2,1884,1,6,Historical Observations,1884,6,23,-7.981,113.341
Dieng Volcanic Complex,Sikidang,1,1883,12,26,Historical Observations,1884,3,18,-7.2,109.879
Marapi,,1,1883,12,0,Historical Observations,1883,12,0,-0.38,100.474
Awu,,2,1883,8,25,Historical Observations,1883,8,26,3.689,125.447
Karangetang,Crater II?,2,1883,8,25,Historical Observations,1883,8,26,2.781,125.407
Sundoro,,2,1883,8,0,Historical Observations,,,,-7.3,109.992
Marapi,,1,1883,6,25,Historical Observations,1883,8,27,-0.38,100.474
Krakatau,"Krakatau Island (Perbuwatan, Danan)",6,1883,5,20,Historical Observations,1883,10,21,-6.102,105.423
Lamongan,,2,1883,4,13,Historical Observations,1883,5,4,-7.981,113.341
Merapi,East dome,1,1883,1,0,Historical Observations,1884,11,0,-7.54,110.446
Sundoro,"Summit, NW and NE flanks",2,1882,4,1,Historical Observations,1882,4,7,-7.3,109.992
Iya,,2,1882,0,0,Historical Observations,,,,-8.891,121.641
Dempo,,2,1881,12,0,Historical Observations,1881,12,0,-4.016,103.121
Leroboleng,Burak (Kawah XXVII),2,1881,3,16,Historical Observations,,,,-8.365,122.833
Dempo,,2,1881,2,16,Historical Observations,,,,-4.016,103.121
Singkut,,,1881,0,0,Historical Observations,,,,3.248,98.501
Sinabung,,,1881,0,0,,,,,3.17,98.392
Raung,,,1881,0,0,Historical Observations,,,,-8.119,114.056
Dempo,,2,1880,5,0,Historical Observations,,,,-4.016,103.121
Tambora,SW part of caldera (Doro Afi Toi),2,1880,0,0,Historical Observations,,,,-8.25,118
Tangkoko-Duasudara,Batu Angus,1,1880,0,0,Historical Observations,,,,1.518,125.185
Dempo,,2,1879,5,18,Historical Observations,,,,-4.016,103.121
Sorikmarapi,,2,1879,0,0,Historical Observations,,,,0.686,99.539
Semeru,,2,1879,0,0,Historical Observations,,,,-8.108,112.922
Kerinci,,2,1878,12,11,Historical Observations,,,,-1.697,101.264
Marapi,,2,1878,12,0,,,,,-0.38,100.474
Semeru,,2,1878,0,0,Historical Observations,,,,-8.108,112.922
Merapi,,2,1878,0,0,Historical Observations,1879,6,20,-7.54,110.446
Semeru,,2,1877,9,0,Historical Observations,,,,-8.108,112.922
Lamongan,,3,1877,4,24,Historical Observations,1877,5,12,-7.981,113.341
Tengger Caldera,Bromo,2,1877,4,24,Historical Observations,,,,-7.942,112.95
Semeru,,2,1877,4,0,Historical Observations,,,,-8.108,112.922
Marapi,,2,1876,8,0,Historical Observations,1877,6,0,-0.38,100.474
Marapi,,2,1876,4,4,Historical Observations,,,,-0.38,100.474
Talang,NE flank,2,1876,0,0,Historical Observations,,,,-0.979,100.681
Leroboleng,Burak (Kawah XXVI),2,1876,0,0,Historical Observations,,,,-8.365,122.833
Slamet,,2,1875,11,2,Historical Observations,1875,12,26,-7.242,109.208
Awu,,2,1875,8,0,Historical Observations,1875,8,0,3.689,125.447
Slamet,,2,1875,5,29,Historical Observations,1875,6,4,-7.242,109.208
Kelut,,,1875,1,29,,,,,-7.93,112.308
Ruang,,2,1874,11,15,Historical Observations,,,,2.3,125.37
Lamongan,,2,1874,5,20,Historical Observations,1874,8,21,-7.981,113.341
Kerinci,,2,1874,0,0,Historical Observations,,,,-1.697,101.264
Kaba,Kaba Volgelsang and Kaba Baru,2,1873,0,0,Historical Observations,1892,11,1,-3.522,102.615
Leroboleng,Burak (Kawah XXIV),2,1873,0,0,Historical Observations,,,,-8.365,122.833
Merapi,,2,1872,11,3,Historical Observations,1873,1,0,-7.54,110.446
Semeru,,2,1872,10,23,Historical Observations,1872,10,23,-8.108,112.922
Lamongan,,2,1872,8,15,Historical Observations,1872,9,18,-7.981,113.341
Merapi,,4,1872,4,15,Historical Observations,1872,4,21,-7.54,110.446
Marapi,,2,1871,9,24,Historical Observations,,,,-0.38,100.474
Iya,,2,1871,9,1,Historical Observations,,,,-8.891,121.641
Gamalama,,2,1871,8,7,Historical Observations,1871,9,25,0.8,127.33
Marapi,,2,1871,4,24,Historical Observations,,,,-0.38,100.474
Ruang,,2,1871,3,2,Historical Observations,1871,3,14,2.3,125.37
Ruang,,3,1870,8,27,Historical Observations,1870,8,28,2.3,125.37
Lamongan,Summit and SW flank,2,1870,8,18,Historical Observations,1871,2,5,-7.981,113.341
Gede-Pangrango,,2,1870,8,0,Historical Observations,1870,10,3,-6.77,106.965
Lamongan,,2,1870,3,2,Historical Observations,1870,3,5,-7.981,113.341
Iliwerung,Iliwerung (Iliadowajo),3,1870,0,0,Historical Observations,,,,-8.53,123.57
Gamalama,,,1870,0,0,,,,,0.8,127.33
Lamongan,,2,1869,9,12,Historical Observations,,,,-7.981,113.341
Lewotobi,Lewotobi Lakilaki,2,1869,7,7,Historical Observations,1869,7,27,-8.542,122.775
Lamongan,Summit and south slope,2,1869,4,6,Historical Observations,1869,5,4,-7.981,113.341
Lewotobi,Lewotobi Lakilaki,2,1868,12,15,Historical Observations,,,,-8.542,122.775
Gamalama,,2,1868,11,13,Historical Observations,1869,2,10,0.8,127.33
Kaba,Kaba Baru ? and Kaba Vogelsang,2,1868,10,0,Historical Observations,1869,0,0,-3.522,102.615
Lewotobi,Lewotobi Lakilaki,2,1868,7,13,Historical Observations,,,,-8.542,122.775
Iya,,2,1868,5,4,Historical Observations,,,,-8.891,121.641
Gamalama,,1,1868,3,13,Historical Observations,1868,3,13,0.8,127.33
Dukono,,2,1868,0,0,Historical Observations,,,,1.693,127.894
Talang,,,1868,0,0,,,,,-0.979,100.681
Tengger Caldera,Bromo,2,1867,12,13,Historical Observations,1868,1,12,-7.942,112.95
Semeru,,2,1867,4,15,Historical Observations,1867,5,0,-8.108,112.922
Iya,,2,1867,1,0,Historical Observations,,,,-8.891,121.641
Gede-Pangrango,,2,1866,9,18,Historical Observations,,,,-6.77,106.965
Tengger Caldera,Bromo,2,1866,7,0,Historical Observations,,,,-7.942,112.95
Semeru,,2,1866,0,0,,,,,-8.108,112.922
Sorikmarapi,,,1866,0,0,,,,,0.686,99.539
Tengger Caldera,Bromo,2,1865,12,1,Historical Observations,1865,12,18,-7.942,112.95
Merapi,,2,1865,10,24,Historical Observations,1871,8,0,-7.54,110.446
Lewotobi,Lewotobi Lakilaki,2,1865,5,4,Historical Observations,,,,-8.542,122.775
Semeru,,2,1865,4,15,Historical Observations,,,,-8.108,112.922
Tengger Caldera,Bromo,2,1865,4,0,Historical Observations,1865,5,0,-7.942,112.95
Kelimutu,,2,1865,0,0,Historical Observations,,,,-8.77,121.82
Gamalama,,2,1864,12,27,Historical Observations,1865,1,2,0.8,127.33
Makian,,1,1864,10,0,Historical Observations,1864,10,0,0.32,127.4
Raung,,2,1864,7,2,Historical Observations,1864,12,0,-8.119,114.056
Semeru,,,1864,7,2,,,,,-8.108,112.922
Lamongan,,2,1864,6,9,Historical Observations,1864,7,0,-7.981,113.341
Karangetang,,2,1864,6,6,Historical Observations,,,,2.781,125.407
Gamalama,,1,1864,6,4,,1864,6,25,0.8,127.33
Gamalama,,2,1864,1,20,Historical Observations,1864,2,17,0.8,127.33
Kelut,,2,1864,1,4,Historical Observations,1864,1,4,-7.93,112.308
Lewotolok,,2,1864,0,0,Historical Observations,,,,-8.274,123.508
Makian,,1,1863,8,25,Historical Observations,1863,8,31,0.32,127.4
Marapi,,2,1863,5,23,Historical Observations,,,,-0.38,100.474
Gamalama,,2,1863,5,1,,1863,6,0,0.8,127.33
Gamalama,,2,1862,7,15,Historical Observations,1862,10,0,0.8,127.33
Merapi,,2,1862,5,26,Historical Observations,1864,0,0,-7.54,110.446
Makian,,4,1861,12,28,Historical Observations,1862,10,0,0.32,127.4
Lewotobi,Lewotobi Lakilaki,2,1861,5,4,Historical Observations,1861,5,18,-8.542,122.775
Marapi,,2,1861,4,0,Historical Observations,,,,-0.38,100.474
Merapi,,2,1861,0,0,Historical Observations,,,,-7.54,110.446
Lamongan,,2,1861,0,0,Historical Observations,,,,-7.981,113.341
Sangeang Api,,2,1860,9,11,Historical Observations,1860,10,0,-8.2,119.07
Raung,,2,1860,9,0,Historical Observations,,,,-8.119,114.056
Tengger Caldera,Bromo,2,1860,6,12,Historical Observations,1860,6,14,-7.942,112.95
Gamalama,,1,1860,6,0,,,,,0.8,127.33
Semeru,,2,1860,4,0,Historical Observations,1860,6,0,-8.108,112.922
Slamet,,2,1860,3,19,Historical Observations,1860,4,11,-7.242,109.208
Makian,,1,1860,0,0,,,,,0.32,127.4
Raung,,2,1859,12,14,Historical Observations,,,,-8.119,114.056
Lewotobi,Lewotobi Lakilaki,,1859,7,0,,,,,-8.542,122.775
Lamongan,,2,1859,2,27,Historical Observations,1859,3,0,-7.981,113.341
Tengger Caldera,Bromo,2,1859,1,30,Historical Observations,1859,3,4,-7.942,112.95
Serua,,2,1859,0,0,Historical Observations,,,,-6.312,130.017
Gamalama,,1,1858,11,0,,1859,9,0,0.8,127.33
Tengger Caldera,Bromo,2,1858,10,18,Historical Observations,,,,-7.942,112.95
Tengger Caldera,Bromo,2,1858,3,4,Historical Observations,,,,-7.942,112.95
Serua,,2,1858,0,0,Historical Observations,,,,-6.312,130.017
Semeru,,2,1857,8,13,Historical Observations,1857,9,0,-8.108,112.922
Tengger Caldera,Bromo,2,1857,0,0,Historical Observations,,,,-7.942,112.95
Tengger Caldera,Volcano Uncertain,2,1856,9,10,,,,,-7.942,112.95
Semeru,,2,1856,9,10,Historical Observations,,,,-8.108,112.922
Ruang,,1,1856,9,0,Historical Observations,,,,2.3,125.37
